Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,1,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,525,458,519,557,465,609,624,692,714,,,,
B,528,494,574,722,719,582,805,860,862,,,,
C,439,434,469,584,508,626,634,555,663,,,,
D,751,770,740,630,848,688,760,622,697,,,,
E,681,370,470,409,548,584,622,674,720,,,,
F,938,956,832,635,620,626,603,502,617,,,,
G,535,540,580,605,463,627,546,538,547,,,,
H,680,604,619,444,519,537,568,522,530,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,2,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,578,622,596,516,584,571,769,945,866,,,,
B,492,538,507,874,797,895,1073,1138,1141,,,,
C,627,517,584,593,606,574,733,685,666,,,,
D,834,839,749,692,815,834,944,888,898,,,,
E,643,550,564,496,645,574,800,822,880,,,,
F,1023,1123,1190,591,641,627,790,622,612,,,,
G,594,619,610,668,541,571,532,528,463,,,,
H,698,770,605,497,558,558,545,554,494,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,3,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,500,593,478,621,640,576,881,822,1017,,,,
B,576,505,625,963,902,1061,1298,1315,1372,,,,
C,621,559,629,656,560,648,728,812,799,,,,
D,1026,905,928,906,847,921,1005,896,1074,,,,
E,664,623,753,608,662,578,859,858,860,,,,
F,1399,1485,1387,749,609,767,819,705,723,,,,
G,774,747,698,569,638,561,576,519,597,,,,
H,644,733,768,451,420,537,632,524,561,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,4,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,486,592,570,589,644,614,933,1037,1037,,,,
B,522,492,598,1079,1141,995,1483,1379,1429,,,,
C,406,558,652,578,749,742,834,767,921,,,,
D,1166,1055,1210,918,865,884,1108,1112,1134,,,,
E,753,777,715,748,642,677,962,892,986,,,,
F,1747,1638,1644,751,725,772,697,712,909,,,,
G,793,865,856,678,638,600,583,518,606,,,,
H,858,957,812,549,610,636,574,577,427,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,5,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,466,521,580,751,694,649,886,989,1078,,,,
B,488,549,522,1280,1189,1151,1428,1473,1546,,,,
C,594,468,490,804,819,749,775,691,757,,,,
D,1194,1269,1250,1027,909,1017,1088,1106,1046,,,,
E,770,800,831,710,791,761,1028,954,1055,,,,
F,1865,1842,1792,815,747,848,731,788,799,,,,
G,960,937,957,541,620,627,558,581,438,,,,
H,887,818,770,622,472,412,533,646,453,,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",36.65,36.95,21.7,21.4,Meas A,0,0,De=1st Ex=Top Em=Top,6,2/8/2025 11:18:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,537,534,525,715,723,661,975,1061,1050,,,,
B,589,596,579,1175,1223,1212,1439,1516,1537,,,,
C,626,592,556,903,801,894,798,829,791,,,,
D,1218,1253,1258,955,1005,1004,1085,1014,1100,,,,
E,888,913,914,802,796,813,940,937,998,,,,
F,2155,1850,1853,768,799,864,804,791,634,,,,
