Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,1,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,469,374,469,389,507,519,,,,,,,
B,718,656,709,659,706,753,685,707,733,747,,,
C,922,884,988,840,933,822,885,769,907,831,,,
D,510,565,517,543,580,585,514,522,635,568,,,
E,623,689,668,723,756,756,678,749,666,549,,,
F,551,749,644,534,712,613,661,592,673,634,,,
G,446,500,518,646,601,577,564,550,656,582,,,
H,366,413,393,343,401,406,512,438,476,342,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,2,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,411,543,430,356,337,410,,,,,,,
B,766,765,689,716,704,774,747,775,818,826,,,
C,953,1101,957,1018,1098,941,970,1043,928,934,,,
D,667,563,627,600,570,626,726,635,549,645,,,
E,626,645,784,796,700,748,713,708,756,712,,,
F,589,650,625,572,620,571,677,748,693,706,,,
G,614,601,495,586,527,657,545,553,630,513,,,
H,427,391,461,402,486,451,341,459,439,460,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,3,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,461,397,556,547,466,479,,,,,,,
B,881,978,973,990,984,1148,1096,1046,1221,1101,,,
C,1610,1499,1320,1504,1505,1343,1319,1288,1249,1213,,,
D,710,684,717,695,607,781,696,793,722,769,,,
E,727,845,872,908,858,827,817,864,840,752,,,
F,748,844,877,931,820,678,753,719,671,678,,,
G,698,804,621,652,733,606,813,648,666,557,,,
H,368,476,412,493,457,394,458,574,421,451,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,4,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,462,543,465,475,503,301,,,,,,,
B,1138,1135,1131,1234,1161,1129,1261,1387,1386,1456,,,
C,2242,2115,1961,2080,2141,1586,1508,1504,1628,1305,,,
D,896,834,905,831,834,893,854,844,845,855,,,
E,1005,1054,999,978,1116,897,933,892,1020,824,,,
F,1084,1044,1046,1188,1008,806,675,751,751,783,,,
G,857,840,784,791,767,714,681,802,773,690,,,
H,446,355,531,436,463,431,471,454,504,459,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,5,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,477,510,451,488,445,422,,,,,,,
B,1354,1305,1260,1227,1241,1358,1404,1331,1328,1446,,,
C,2780,2597,2556,2367,2326,1567,1624,1650,1579,1436,,,
D,1015,968,936,862,822,828,901,1022,949,836,,,
E,1170,1191,1259,1216,1149,1050,1007,889,962,840,,,
F,1276,1303,1369,1351,1040,821,879,870,665,817,,,
G,865,847,811,871,984,674,720,795,730,565,,,
H,320,516,440,412,500,520,465,382,351,487,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,6,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,507,351,513,448,511,488,,,,,,,
B,1489,1432,1412,1505,1431,1324,1393,1477,1293,1449,,,
C,3029,2968,2676,2632,2611,1672,1825,1557,1702,1362,,,
D,1102,1051,1075,858,937,1007,950,986,861,936,,,
E,1265,1267,1337,1332,1429,894,920,991,963,878,,,
F,1410,1232,1304,1522,1380,752,917,826,770,715,,,
G,914,1027,915,949,1024,742,762,847,636,660,,,
H,452,365,360,374,443,374,505,514,412,473,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,7,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,427,445,545,556,559,491,,,,,,,
B,1655,1443,1499,1484,1426,1367,1448,1356,1372,1359,,,
C,3299,3130,2982,2782,2722,1643,1708,1668,1723,1440,,,
D,1056,1117,1065,1011,1146,988,982,988,952,807,,,
E,1393,1200,1481,1402,1285,939,960,982,917,732,,,
F,1480,1409,1438,1496,1351,752,798,901,800,804,,,
G,958,894,925,983,1084,743,750,812,659,595,,,
H,390,367,388,446,505,442,419,412,498,490,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,8,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,435,444,535,581,504,507,,,,,,,
B,1794,1641,1747,1715,1668,1400,1383,1421,1445,1527,,,
C,3477,3153,3030,2992,2824,1651,1594,1718,1741,1478,,,
D,1258,1089,1128,1119,1108,1000,949,910,935,890,,,
E,1539,1429,1524,1525,1452,838,983,968,977,951,,,
F,1494,1454,1485,1508,1395,730,947,842,915,804,,,
G,1063,1105,1065,1007,1019,657,690,850,665,808,,,
H,416,493,431,570,389,507,584,454,459,504,,,

Plate information 
Plate,Repeat,Barcode,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,Meas,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",35.55,36.9,20.5,21,Meas A,0,0,De=1st Ex=Top Em=Top,9,2/18/2025 9:14:21 AM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,

Results for Meas A -  (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,
A,415,556,387,489,378,489,,,,,,,
B,1798,1738,1674,1830,1791,1425,1460,1563,1434,1513,,,
